dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids,followers_zscore,monthly_listeners_zscore
2024-05-03,28j8lBWDdDSHSSt5oPlsX2,zhu,4189366.0,60.0,898041.0,"edm, electro house",2016.0,2024.0,20.0,1.0,Heart Beats,"40zJbxW89dq6bEwUVLrxJS, 2JnF9w6ONUVFN1JqhgZYSn",-0.20778403846403487,-0.1971593041558453
2024-04-06,4k5wUzbeVt1nviNANoqMI2,infinite field,417396.0,49.0,433.0,"binaural, healing hz",2022.0,2024.0,11.0,1.0,Deep Sleep,0hCJTpYhPZDQ0YY9f4TxT1,-0.30632799038479486,-0.4736842504838757
2024-04-22,3HqSLMAZ3g3d5poNaI7GOU,iu,7094581.0,71.0,8485703.0,"k-pop, pop",2009.0,2024.0,20.0,1.0,K-Pop ON! (온),"1c6kkrWnpy68eYDfBdxNtF, 1c6kkrWnpy68eYDfBdxNtF",0.6252279214549695,0.015823413614017408
2024-04-26,1GmsPCcpKgF9OhlNXjOsbS,lizzy mcalpine,12288203.0,71.0,898064.0,"alt z, boston folk, indie pop, singer-songwriter pop",2019.0,2024.0,19.0,1.0,Chill Pop,"0OQFriWHtnIzsRp3uImlGt, 0OQFriWHtnIzsRp3uImlGt, 2L9N0zZnd37dwF0clgxMGI, 0OQFriWHtnIzsRp3uImlGt, 0OQFriWHtnIzsRp3uImlGt, 2L9N0zZnd37dwF0clgxMGI, 0OQFriWHtnIzsRp3uImlGt, 0OQFriWHtnIzsRp3uImlGt, 2L9N0zZnd37dwF0clgxMGI",-0.2077815134075579,0.39657035613956193
2024-04-16,5snx16ErkhOi5bNc2mLx5V,james quinn,709617.0,53.0,28345.0,background piano,2023.0,2024.0,20.0,1.0,Intense Studying,6onLB9QbkLpR9hZimB0ff5,-0.303263669672399,-0.4522613875393339
2024-04-06,7EGwUS3c5dXduO4sMyLWC5,houndmouth,1860316.0,56.0,297420.0,"indie folk, modern folk rock, new americana, stomp and holler",2012.0,2023.0,12.0,4.0,Rockin' Vibes,6FLkXWDTvUc36qYYRhm4jg,-0.27372325351848936,-0.36790308691268037
2024-05-09,31klRMTQJ94NrxwIZJwJBY,yehezkel raz,4488779.0,60.0,43128.0,israeli folk,2017.0,2024.0,20.0,1.0,Chill Gaming,2kbruQXVXFmxxm4l75zuwy,-0.3016407170680944,-0.17520919221038586
2024-05-03,7ieMQQDR0bdBPz572mtxwS,bobby,352937.0,46.0,884962.0,k-pop,2014.0,2024.0,13.0,2.0,KrOWN,"31uX7zezKOuaxhgr8mUFMB, 7cvtsCXaLRyBmDgrtDCfxa",-0.20921991731891543,-0.4784097709719386
2024-04-26,1m3Z3kHjeDDFzKNWqvTlYN,the caracal project,190926.0,39.0,163448.0,french dnb,2021.0,2024.0,20.0,1.0,creamy,"2GTBThIhxFWnSNpvLr1HHu, 2GTBThIhxFWnSNpvLr1HHu, 2GTBThIhxFWnSNpvLr1HHu",-0.28843137814163006,-0.4902868757950285
2024-04-29,0hCNtLu0JehylgoiP8L4Gh,nicki minaj,50787282.0,83.0,30941194.0,"hip pop, pop, queens hip hop, rap",2010.0,2024.0,20.0,2.0,RapCaviar,2oTFuT1tKLHlTJsnBSJJiN,3.090505442890896,3.2189564711281764
2024-04-11,7Lhw1kKfHHKBfcvMSD3DLl,yln foreign,35884.0,28.0,8184.0,k-rap,2020.0,2023.0,20.0,5.0,KrOWN,"6DJpnE5UQZi7zIZIVYwnMe, 6DJpnE5UQZi7zIZIVYwnMe",-0.30547704635205697,-0.5016530798551325
2024-04-16,6xlIFpRmRNDoVuFUqzuMFE,nsw yoon,38568.0,37.0,12057.0,"k-rap, korean drill",2021.0,2023.0,18.0,2.0,KrOWN,19rwdftkfTj3oqqhRevov7,-0.30505184879834857,-0.5014563145160804
2024-04-26,5puV4r3ntz4XyzN6QnBKep,missy raines,19141.0,21.0,1681.0,neo-traditional bluegrass,1998.0,2024.0,9.0,1.0,Grass Roots,"7v773znNvjE1Gx6cIgcmYA, 7v773znNvjE1Gx6cIgcmYA, 7v773znNvjE1Gx6cIgcmYA",-0.30619097862465333,-0.5028805172887203
2024-04-10,5RmQ8k4l3HZ8JoPb4mNsML,agust d,4208947.0,74.0,14071911.0,k-rap,2016.0,2023.0,4.0,1.0,KrOWN,"6XrPzwKeGzEvtan3acn7VH, 6XrPzwKeGzEvtan3acn7VH",1.2385101254586826,-0.19572381156866955
2024-04-05,0XqFDQJjqW5PfhfBCb53LR,sick individuals,979671.0,51.0,192359.0,"big room, dutch house, edm, electro house, pop dance, progressive electro house",2015.0,2024.0,20.0,1.0,Night Rider,6vFGJHTdxHzmBy8wD4BeZ0,-0.2852573821500824,-0.4324635980935881
2024-04-12,4QmC9vyeUlNcmR9sKzbmxe,sølv,141766.0,41.0,22089.0,dark r&b,2020.0,2023.0,20.0,1.0,Deep House Relax,1bNo2ybJL8rmZzOdd6T3sG,-0.303950485034134,-0.4938908191883975
2024-04-29,5CsUyEbyQ9JoZLTaP9HJhu,dormiente,294311.0,42.0,163448.0,528hz,2020.0,2024.0,16.0,1.0,Ambient Relaxation,"0B4ZcKyYqeVddzpYNZRZxr, 5ZLOfL06vYZY1jh4hQ850O, 63kxLIjDG9maJO1T1oxVoP",-0.28843137814163006,-0.4827076714068379
2024-04-05,0XRkZikEumDTaGGE9mW8HA,2 engel & charlie,2148132.0,60.0,11391.0,hypertechno,2022.0,2024.0,12.0,1.0,Hardstyle Bangers,0M6Ev2Pkm72m8t13siJPDp,-0.30512496565111635,-0.3468031566501522
2024-04-16,5gqhueRUZEa7VDnQt4HODp,nils frahm,1931328.0,61.0,642783.0,"compositional ambient, electronica, neoclassical darkwave",2012.0,2024.0,20.0,9.0,Peaceful Piano,"4eFAsz4mMrJiFRGqgghYPj, 7nbupE7oWrRG33GgnIbF7C, 673xcQ8s3hrfe2hJDgmYSb",-0.23580755438567255,-0.362697162822975
2024-04-17,6xVcovJKcJRop6h8Ik9DIa,vanessa desire,21143.0,27.0,23717.0,Sin género,2019.0,2023.0,8.0,1.0,Haitian Heat,"4ciS4HvKpAntCCfBNpZNGP, 4ciS4HvKpAntCCfBNpZNGP",-0.30377175494959047,-0.5027337496997553
2024-05-05,13iHfCJycQVyCypXHeVMoU,ronrontheproducer,68500.0,28.0,6537.0,westcoast flow,2019.0,2023.0,17.0,6.0,Westside Story,5QPONzQY14PDgdnZ1zCz6t,-0.30565786235282066,-0.49926198510903563
2024-05-07,7GDVEcdwoNfZlN6sRYrjwZ,carmelito,318547.0,38.0,298.0,background piano,2007.0,2024.0,10.0,1.0,Piano in the Background,0cUVh5ofEVsK3IiGS4Flii,-0.30634281136846403,-0.48093091851664893
2024-04-05,6hxiY0CFXTibGUtp8TdCxp,belmont,294907.0,48.0,101459.0,"alternative emo, anthem emo, chicago pop punk, easycore, pop punk",2018.0,2024.0,20.0,2.0,All New Punk,55T0Z7PSxKnPnsSJBaj4Zm,-0.29523684448731324,-0.48266397835837477
2024-04-02,56x8mYvS3cyDGAi8N2FxbB,randy houser,3225007.0,61.0,1003888.0,"contemporary country, country, country road",2008.0,2023.0,18.0,1.0,Country Drive,26t3KexbqzF3sRWgczYyja,-0.19616361877196808,-0.267856929194208
2024-04-26,5kmceQl1Y7lveTVbcy5ycD,dlala thukzin,725211.0,46.0,379280.0,gqom,2019.0,2024.0,19.0,1.0,African Heat,"5yyYL1FpimADTIftYQU0cg, 5yyYL1FpimADTIftYQU0cg, 5yyYL1FpimADTIftYQU0cg",-0.2647362481617708,-0.4511181838518604
2024-04-12,0qGPycvPHafmEPTOm4M7Tu,dz deathrays,85510.0,35.0,67895.0,Sin género,2012.0,2024.0,20.0,4.0,Noisy,1otWE0vpz7LDL0TH9qUMYx,-0.29892167038265777,-0.4980149737762202
2024-04-16,5noIMRg61zRD7KhynZLmFX,kenny muney,758121.0,52.0,68005.0,memphis hip hop,2017.0,2024.0,20.0,1.0,No Cap,56nM2xxlvoqwBDSMJdXkrv,-0.29890959402559397,-0.448705535823468
2024-04-12,7i9j813KFoSBMldGqlh2Z1,riton,10244013.0,67.0,131895.0,"house, pop dance, uk dance",2018.0,2023.0,20.0,5.0,Pepplåtar till träningspasset,"4cG7HUWYHBV6R6tHn1gxrl, 4cG7HUWYHBV6R6tHn1gxrl",-0.29189542627283627,0.24670979785455527
2024-04-10,7ufjo5jO7vQfG6Zg0QzWEJ,carr,160572.0,40.0,22257.0,punk,2019.0,2024.0,19.0,5.0,Fresh Finds Rock,"0qxQ9DltFW338AF9yKYKNp, 0qxQ9DltFW338AF9yKYKNp",-0.30393204114334577,-0.49251214222632067
2024-04-11,1xT5p0VBpnZDrvVSjX9sri,dash berlin,4552646.0,63.0,545803.0,"big room, dutch trance, edm, pop dance, progressive house, trance, uplifting trance",2009.0,2023.0,20.0,2.0,Main Stage,"1P7hMSbpJOQy58eC78qx7s, 1P7hMSbpJOQy58eC78qx7s",-0.24645450991333642,-0.17052707152885013
2024-04-06,1r1uxoy19fzMxunt3ONAkG,phoebe bridgers,10544733.0,93.0,2305649.0,"indie pop, la indie, pov: indie",2017.0,2023.0,20.0,2.0,Rockin' Vibes,09DR0sHnQUhHOiSNttc1mv,-0.05324970379313493,0.2687557266026008
