ids,followers,monthly_listeners,popularity,num_releases,num_tracks,playlists_distintas,antiguedad,genero,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
009jvUML9QGYMzYNAqbHDV,1717.0,6399.0,17.0,20.0,1.0,1.0,2.0,instrumental,0.433,0.499,0.335,0.000206,0.0969,-9.227,0.0309,76.185,0.163
00FQb4jTyendYWaN8pK0wa,34031390.54545455,55983952.36363637,89.54545454545455,20.0,1.0,8.0,12.0,pop,0.40306470588235294,0.5184705882352941,0.5182941176470588,0.05987601352941176,0.11023529411764707,-9.433176470588236,0.05249411764705883,122.62564705882353,0.29697647058823534
00ITn8oTHWAJMGySvynsYg,58.0,1473.0,4.0,15.0,3.0,1.0,3.0,pop,0.00776,0.633,0.408,0.694,0.0929,-12.857,0.0279,109.992,0.279
00WEbQMBzMtwbccrSjQwhJ,12041.0,102046.0,38.0,20.0,4.0,1.0,5.0,instrumental,0.05145999999999999,0.7966,0.5532,0.873,0.1222,-7.1293999999999995,0.06612,147.2074,0.3994
00YTqRClk82aMchQQpYMd5,1104584.0,2226572.0,60.0,20.0,1.0,1.0,16.0,sin genero,0.000103,0.515,0.949,1.22e-05,0.348,-3.521,0.0806,124.069,0.308
00d3cwrk9aduzfVDCG0Hgp,2604.0,210316.0,41.0,18.0,1.0,1.0,5.0,electronica,0.00069,0.554,0.956,0.051,0.157,-2.006,0.22,159.894,0.358
00eldNtAqcdLF9adKlyFZf,9322.0,27407.0,27.0,13.0,1.0,1.0,31.0,country y folk,0.483,0.642,0.595,0.00182,0.318,-8.189,0.0311,110.068,0.799
00q3HI6mnGUJqMlfwBJTco,14727.0,46538.0,32.0,20.0,8.0,1.0,6.0,instrumental,0.872,0.293,0.0228,0.00586,0.0592,-29.357,0.0542,116.375,0.038
00x1fYSGhdqScXBRpSj3DW,332186.5,3495364.5,64.5,20.0,2.0,4.0,3.0,r&b,0.25866666666666666,0.6629999999999999,0.6793333333333335,0.00010833333333333333,0.12233333333333334,-6.342,0.050499999999999996,91.36666666666667,0.341
01DTVE3KmoPogPZaOvMqO8,602723.5,856334.0,51.0,20.0,1.0,1.0,12.0,afro,0.43,0.5700000000000001,0.6065,0.0,0.1325,-8.8375,0.276,138.4825,0.5045
01FFlOpQoTLXIBTp0p9MEc,10416.0,726693.0,49.0,9.0,1.0,1.0,3.0,pop,0.3845,0.6565000000000001,0.572,4.73e-05,0.1355,-7.321999999999999,0.03995,126.491,0.481
01PnN11ovfen6xUOHfNpn3,134818.5,3094941.0,57.0,20.0,2.0,2.0,5.0,electronica,0.1115,0.572,0.6255,0.130055,0.1825,-6.5515,0.09315,136.88299999999998,0.129
01QTIT5P1pFP3QnnFSdsJf,1857131.857142857,4185531.4285714286,64.71428571428571,20.0,1.0,1.0,18.0,hip hop,0.207,0.572,0.822,0.0,0.359,-6.015,0.361,94.812,0.472
01XYiBYaoMJcNhPokrg0l0,1704067.1764705882,3045195.529411765,61.1764705882353,14.0,1.9411764705882353,5.0,4.0,coreano,0.2013038888888889,0.7154444444444444,0.7582222222222222,1.3333333333333334e-06,0.2922777777777778,-4.570888888888889,0.05196666666666667,136.24255555555555,0.5693333333333332
01aC2ikO4Xgb2LUpf9JfKp,916209.25,2016567.75,56.0,17.75,4.0,3.0,13.0,jazz,0.11581333333333334,0.43050000000000005,0.8051666666666667,0.005422733333333333,0.25056666666666666,-3.9623333333333335,0.0706,134.7925,0.4563333333333333
01n1Lj2lmdteXD8qFPqhsL,5835.5,21264.5,22.0,20.0,2.0,1.0,17.0,coreano,0.526,0.631,0.482,0.0,0.123,-5.712,0.0304,129.869,0.252
01qbSocTDAe2DmKayS89A5,73397.0,422806.0,42.0,20.0,2.0,1.0,6.0,electronica,0.033723333333333334,0.67,0.8809999999999999,0.38839833333333335,0.306,-3.4103333333333334,0.0682,136.2973333333333,0.2623333333333333
01ts5a7R3WkeE2oKIouXEK,9792.0,56318.0,31.0,17.0,1.0,1.0,32.0,country y folk,0.8029999999999999,0.6066666666666666,0.5223333333333333,0.5948666666666667,0.15183333333333335,-11.484333333333334,0.03286666666666666,124.952,0.6903333333333332
021hNAnkFIbyFyL97br6NB,896733.0,282000.0,37.0,17.0,1.0,1.0,18.0,country y folk,0.92,0.483,0.18,1.88e-05,0.121,-10.485,0.0298,150.98,0.364
026v3mvWdRvVdjL67VBySh,65484.0,548350.0,47.5,14.0,6.0,1.0,14.0,country y folk,0.0143,0.579,0.914,0.0,0.376,-5.301,0.0556,136.036,0.748
029RjYsk0DU8LKC92sUyXZ,49411.0,227620.0,36.0,20.0,1.0,1.0,7.0,electronica,0.06345,0.718,0.802,0.0029814999999999998,0.253,-7.455,0.0403,127.488,0.5085
02DWGcShQivFepRvGJ7xhB,212151.5,1599141.5,56.5,20.0,1.0,2.0,10.0,electronica,0.038552666666666666,0.6433333333333334,0.8253333333333334,0.41900000000000004,0.1934,-7.954666666666667,0.036333333333333336,122.00333333333333,0.07343333333333334
02J7bo06ZZ1XmSGochlWak,24773.0,495134.0,46.0,20.0,1.0,1.0,3.0,hip hop,0.139,0.727,0.72,0.0,0.0721,-8.755,0.179,140.07,0.553
02NfyD6AlLA12crYzw5YcR,1395046.5,1666260.5,54.5,11.0,5.0,2.0,37.0,rock,0.027,0.363,0.764,0.012601045,0.193,-8.0305,0.0582,82.277,0.40449999999999997
02WoRfOhF5nUVpwddshInq,18205.4,14196.8,32.666666666666664,14.0,1.0,2.0,10.0,coreano,0.435,0.7555000000000001,0.7015,0.0,0.10175000000000001,-5.4455,0.1985,85.022,0.8075
02bDUUUCAdpFob66KNgPtF,535.0,1127546.0,16.0,20.0,8.0,1.0,13.0,instrumental,0.97,0.2695,0.0438,0.36375,0.11265,-22.3915,0.0456,112.8105,0.1305
02eGekE35DrC5E0qH4kh3H,5191.0,60678.0,30.0,13.0,1.0,2.0,6.0,country y folk,0.793,0.438,0.159,0.000213,0.106,-10.751,0.0275,91.255,0.0942
02gxa3HE5O0zBKRjeDh6Ba,17067.0,124810.0,36.0,20.0,1.0,1.0,13.0,hip hop,0.13882,0.7516666666666666,0.5976666666666667,4.0333333333333336e-05,0.18746666666666667,-8.483333333333333,0.1998,156.314,0.48600000000000004
02kJSzxNuaWGqwubyUba0Z,5245785.8,23316882.6,76.8,20.0,1.0,5.0,12.0,hip hop,0.10234457142857142,0.6882857142857143,0.6914285714285714,1.8714285714285714e-07,0.1402142857142857,-6.864714285714285,0.23612857142857144,143.21971428571428,0.5158571428571428
02rd0anEWfMtF7iMku9uor,2008551.5,2902116.5,59.75,20.0,10.0,3.0,32.0,country y folk,0.33259999999999995,0.531,0.5357142857142857,4.197428571428572e-05,0.15442857142857142,-6.608428571428571,0.03382857142857143,109.45328571428571,0.47128571428571425
02seUFsFQP7TH4hLrTj77o,623151.5,2119940.5,59.0,16.5,1.0,2.0,9.0,country y folk,0.295,0.643,0.6679999999999999,0.117785,0.185425,-5.4545,0.036449999999999996,121.785,0.47624999999999995
02zKoKfNVxQkU6Au4itp0f,2729.0,14759.0,20.0,3.0,1.0,1.0,6.0,otro,0.9245,0.614,0.308,0.00605,0.1505,-11.4295,0.0334,134.0325,0.532
034u8Qcs47NHkRQXaWkLXW,44829.333333333336,266088.0,42.666666666666664,20.0,1.0,2.0,6.0,pop,0.28764999999999996,0.502,0.749,0.00545,0.109,-6.8825,0.06895,143.505,0.29
03C9IJtseK0NX9zw53URjF,1810.0,52786.0,30.0,20.0,9.0,1.0,5.0,instrumental,0.973,0.347,0.139,0.0169,0.136,-20.519,0.044,116.023,0.196
03Usizud7onAiPocQkcK5V,239.375,141872.25,34.625,8.0,2.0,1.0,3.0,instrumental,0.99,0.271,0.00687,0.95,0.102,-31.51,0.0392,71.62,0.0403
03X2rnTnfrpid7yLZfUSGn,12323.666666666666,92233.66666666667,31.333333333333332,20.0,1.0,2.0,11.0,r&b,0.34299999999999997,0.7084999999999999,0.396,0.00103,0.09445,-9.9565,0.11249999999999999,112.509,0.29000000000000004
03a8aFqbYAPqmQ8pJxyUmS,5798.0,35954.0,23.0,20.0,1.0,1.0,3.0,pop,0.772,0.423,0.536,0.000109,0.122,-9.834,0.0808,162.048,0.23
03d64K2pahKcY9cyDvh1XO,2391.0,21539.0,22.0,6.0,1.0,1.0,4.0,country y folk,0.471,0.4605,0.6225,0.000136,0.1805,-7.835,0.0318,107.5745,0.8765000000000001
03qM4LmPCrR7CuHTE0WAIW,198722.0,773351.0,53.0,20.0,1.0,1.0,9.0,otro,0.412,0.845,0.419,0.0,0.0843,-8.648,0.113,130.103,0.489
03r4iKL2g2442PT9n2UKsx,2751578.5,8535314.75,67.5,20.0,1.0,3.0,38.0,rock,0.0409,0.6132500000000001,0.76825,0.008610395,0.08235,-7.555,0.15642499999999998,128.78475,0.58975
03tes5RhEvH2dX2eDeGnRn,27527.0,1458928.0,52.0,11.0,20.0,1.0,34.0,electronica,0.0588,0.748,0.908,0.894,0.0943,-8.319,0.0504,130.004,0.0576
03uMw43UVu9MsQCcHVSGjX,356425.3333333333,1650146.0,56.0,20.0,1.0,3.0,8.0,otro,0.5186666666666667,0.5933333333333334,0.449,0.00136157,0.20099999999999998,-6.706666666666667,0.03323333333333333,117.832,0.41700000000000004
03y4yOxhLk6MDJ1bV424uO,89301.0,6177336.0,66.5,17.0,1.0,1.0,3.0,electronica,0.40445,0.607,0.7275,0.58112,0.1375,-8.5425,0.098525,137.25625,0.34575
041iTeoMIwXMlShuQPIVKo,405708.0,3513517.0,60.0,20.0,1.0,1.0,10.0,pop,0.172,0.691,0.545,0.78,0.106,-6.647,0.035,105.976,0.514
048LktY5zMnakWq7PTtFrz,1232528.0,9058967.666666666,65.66666666666667,20.0,1.0,4.0,5.0,r&b,0.293,0.7895,0.6525,0.0054399999999999995,0.1231,-6.3025,0.06705,94.971,0.5365
04Axa6ilD95HIZIx5zUg6W,5176.666666666667,17631.666666666668,23.0,20.0,1.0,1.0,8.0,rock,0.0301,0.719,0.509,0.0,0.116,-7.579,0.034,122.007,0.509
04GCjO1r1hPelibCUq9S8H,112215.33333333333,1249902.0,52.666666666666664,20.0,1.0,3.0,12.0,instrumental,0.794,0.4665,0.503,0.904,0.25,-10.7195,0.06805,115.49799999999999,0.429
04HjibunL2jGRLEqVEMfZY,41191.0,246127.0,39.0,20.0,1.0,1.0,22.0,jazz,0.151,0.612,0.636,1.04e-05,0.341,-6.222,0.0597,64.976,0.242
04HqRx07Bv9gh7rsrMTqs7,287257.0,1793891.0,59.5,20.0,2.0,1.0,18.0,pop,0.269,0.666,0.694,0.0,0.133,-5.505,0.0505,148.066,0.642
04L3elxyr0XFua2Ek3domW,115548.4,420705.7,44.0,20.0,1.0,3.0,18.0,coreano,0.865,0.4915,0.3885,0.0049660500000000005,0.108,-7.0655,0.0322,142.739,0.491
04gDigrS5kc9YWfZHwBETP,41197490.8,62807837.8,83.8,20.0,1.0,5.0,22.0,pop,0.12942,0.7086,0.6992,0.0009664599999999999,0.21526,-6.695,0.0482,118.89439999999999,0.6900000000000001
04ka9403wgTxmWFMY1PD5t,55289.0,88758.0,34.0,20.0,1.0,1.0,12.0,r&b,0.101,0.419,0.465,0.00122,0.105,-6.508,0.061,149.432,0.187
04vdWVjgi45nrMAxeCEVQe,153503.0,303495.0,44.0,20.0,1.0,1.0,5.0,electronica,0.0428,0.783,0.908,0.0,0.211,-2.373,0.106,128.018,0.471
