ids,names,popularity,markets,artists,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,count,dates,playlists_found,loudness_zscore,tempo_minmax
6MIouIaP6WqE6o9Uo25gdO,"if it's real, then i'll stay",63.0,185.0,10dzW1PpkEFPkeQSqvgXvw,2021-07-02,184285.0,0.993,0.395,0.0435,0.959,0.126,-29.419,0.0324,97.606,0.0701,1.0,1.0,4.0,1.0,2024-05-09,Chill Gaming,-1.9985806007862474,0.34386694832559483
667VsfRZBPcI42mfFvgYpl,through the night,51.0,184.0,1Od0hPnXSqA9pipLqNXJ7e,2018-03-15,166400.0,0.0688,0.511,0.672,0.0047,0.121,-6.171,0.0571,150.029,0.253,9.0,0.0,4.0,1.0,2024-04-02,Hardstyle Bangers,0.49977785599089175,0.6249343212841931
2f8jLjm7Jzmgiqu3Kgjuuz,comfort zone,37.0,177.0,6GmYm47Zgk3tvoCeJbsH5r,2009-01-30,362857.0,0.91,0.426,0.406,0.461,0.115,-10.758,0.038,168.025,0.0631,8.0,1.0,4.0,1.0,2024-04-05,Atmospheric Calm,0.006833506316221447,0.7214203759503308
6QsLsBKwuFVEJgmktsfLnR,bussin' (brock's method) - stick em 2k20 remix,48.0,185.0,"33hj9n9Y19jGhXk8m7ezKR, 0Ai6AfyHUiBw0uQKESpXF2, 3XKayWe7KM4GandT0kIBxn",2024-04-12,142222.0,0.00211,0.884,0.762,0.002,0.131,-4.753,0.22,135.043,0.721,1.0,1.0,4.0,2.0,"2024-04-26, 2024-05-09","Fresh Finds Hip-Hop, Alternative Hip-Hop",0.652163966267474,0.5445864653591688
2KslE17cAJNHTsI2MI0jb2,standing next to you,91.0,185.0,6HaGTQPmzraVmaVxvz6EUc,2023-11-03,206019.0,0.0447,0.711,0.809,0.0,0.339,-4.389,0.0955,106.017,0.816,2.0,0.0,4.0,5.0,"2024-05-09, 2024-04-18, 2024-04-17, 2024-04-19, 2024-05-08","Daily Lift, KrOWN, Hallyu Boy Bands",0.6912814162961594,0.3889627588277555
3Cx4yrFaX8CeHwBMReOWXI,we didn't start the fire,77.0,185.0,6zFYqv1mOsgBRQbae3JJ9e,1989-10-17,287733.0,0.0771,0.712,0.967,0.0,0.356,-5.206,0.047,145.024,0.895,7.0,1.0,4.0,2.0,"2024-04-06, 2024-04-09",All Out 80s,0.6034820847757308,0.5980998745402489
3M0lSi5WW79CXQamgSBIjx,swim,83.0,184.0,7cYEt1pqMgXJdq00hAwVpT,2017-10-04,228786.0,0.27,0.666,0.542,0.0,0.0765,-6.429,0.0392,120.134,0.0771,8.0,1.0,4.0,2.0,"2024-04-19, 2024-04-18",very hot,0.4720517513002301,0.46465144707635886
2hKdd3qO7cWr2Jo0Bcs0MA,drops of jupiter (tell me),82.0,185.0,3FUY2gzHeIiaesXtOAdB7A,2001-03-27,259933.0,0.153,0.481,0.638,0.0,0.154,-5.862,0.0276,79.064,0.497,0.0,1.0,4.0,1.0,2024-04-07,Guilty Pleasures,0.5329847023064517,0.2444534994692087
3xpuHGQZMXiR8j9aCIOO8C,20 something,56.0,184.0,0VMFTqmv0hYlWruyBERT95,2024-03-29,160782.0,0.185,0.582,0.658,0.0,0.069,-3.547,0.298,179.955,0.578,10.0,1.0,4.0,1.0,2024-04-02,Singled Out,0.7817673858680085,0.7853834028544775
0AcuvNq4yAuLJ5SLeyYOFo,waiting (feat. kelli-leigh),44.0,183.0,"0QaSiI5TLA4N7mcsdxShDO, 79PzyYqAyunWsVH4tY4vpr, 0m6f0nNS9GEq41eIJ288ff",2023-05-12,231733.0,0.0317,0.521,0.877,0.0553,0.136,-3.175,0.0582,174.014,0.0388,9.0,0.0,4.0,2.0,"2024-05-09, 2024-04-12","Heart Beats, creamy",0.8217445600731487,0.7535305660701074
